Artista;A–o;GŽnero ;Nacionalidad;Popularidad antes;Popularidad DespuŽs
Marc Anthony ;2025;Salsa;;;
Bacilos;2025;Pop Latino;;;
Myriam Hernandez;2025;Balada Rom‡ntica;;;
Ha*Ash;2025;Pop  ;;;
Morat ;2025;Pop  Latino;;;
Sebastian Yatra;2025;Pop Latino ;;;
Carlos Vives;2025;Pop tropical;;;
Caris Leon;2025;Regional Mexicana;;;
Incubus;2025;Rock Alternativo;;;
The Cult;2025;Hard rock;;;
Duki;2025;Trap;;;
Eladio Carrion;2025;Trap;;;
Kid Voodoo;2025;Urbano;;;
Alejandro Sanz;2024;Balada  ;;;
Manuel Turizo;2024;Urbano ;;;
Andrea Bocelli;2024;Cl‡sica ;;;
MIRANDA!;2024;Electropop;;;
Man‡;2024;Rock  ;;;
Men at Work;2024;Pop ;;;
Mora ;2024;Urbano;;;
Anitta;2024;Pop funk ;;;
Los Bunkers;2024;Rock  Alternativo;;;
Young Cister;2024;Urbano;;;
Trueno;2024;Hip Hop / Rap;;;
Maria Becerra;2024;Pop ;;;
Karol G;2023;Urbano ;;;
Paloma Mami;2023;Urbano ;;;
Tini;2023;Pop ;;;
Emilia;2023;Pop ;;;
Alejandro Fernandez;2023;Regional mexicana;;;
Los Jaivas;2023;Rock  ;;;
Fito Paez;2023;Rock;;;
Rels B;2023;Urbano;;;
Christina Aguilera;2023;Pop;;;
Polima Wescoast;2023;Trap;;;
Camilo;2023;Pop ;;;
Nicki Nicole;2023;Urbano;;;
Ricky Martin;2020;Pop  Latino;;;
Pedro Cap—;2020;Pop rom‡ntico;;;
Mon Laferte;2020;Pop ;;;
Francisca Valenzuela;2020;Pop ;;;
Ana gabriel;2020;Balada  ;;;
Pimpinela;2020;Pop ;;;
Pablo Albor‡n;2020;Pop ;;;
Luciano Pereyra;2020;Pop ;;;
