Artista;Año;Género F/M/Mixto;Grupo/solista;Género musical;Nacionalidad
Marc Anthony ;2025;Hombre;Solista;Salsa;Estados Unidos/ Puerto Rico
Bacilos;2025;Hombre;Grupo;Pop Latino;Estados Unidos
Myriam Hernandez;2025;Mujer;Solista ;Balada Romántica;Chile
Ha*Ash;2025;Mujer;Duo;Pop  ;México
Morat ;2025;Hombre;Grupo;Pop  Latino;Colombia
Sebastian Yatra;2025;Hombre;Solista;Pop Latino ;Colombia
Carlos Vives;2025;Hombre;Solista;Pop tropical;Colombia
Carín Leon;2025;Hombre;Solista;Regional Mexicana;México
Incubus;2025;Mixto;Grupo;Rock Alternativo;EEUU
The Cult;2025;Hombre;Grupo;Hard rock;Reino Unido
Duki;2025;Hombre;Solista;Trap;Argentina
Eladio Carrion;2025;Hombre;Solista;Trap;Puerto Rico
Kid Voodoo;2025;Hombre;Solista;Urbano;Chile
Alejandro Sanz;2024;Hombre;Solista;Balada romántica;España
Manuel Turizo;2024;Hombre;Solista;Urbano ;Colombia
Andrea Bocelli;2024;Hombre;Solista;Clásica ;Italia
MIRANDA!;2024;Mixto;Duo;Electropop;Argentina
Maná;2024;Hombre;Grupo;Rock  ;México
Men at Work;2024;Hombre;Grupo;Pop ;Australia
Mora ;2024;Hombre;Solista;Urbano;Puerto Rico
Anitta;2024;Mujer;Solista;Pop funk ;Brasil
Los Bunkers;2024;Hombre;Grupo;Rock  Alternativo;Chile
Young Cister;2024;Hombre;Solista;Urbano;Chile
Trueno;2024;Hombre;Solista;Hip Hop / Rap;Argentina
Maria Becerra;2024;Mujer;Solista;Pop ;Argentina
Karol G;2023;Mujer;Solista;Urbano ;Colombia
Paloma Mami;2023;Mujer;Solista;Urbano ;Chile
Tini;2023;Mujer;Solista;Pop ;Argentina
Emilia;2023;Mujer;Solista;Pop ;Argentina
Alejandro Fernandez;2023;Hombre;Solista;Ranchera / pop latino;México
Los Jaivas;2023;Mixto;Grupo;Rock folclórico;Chile
Fito Paez;2023;Hombre;Solista;Rock;Argentina
Rels B;2023;Hombre;Solista;Urbano;España
Christina Aguilera;2023;Mujer;Solista;Pop;Estados Unidos
Polima Wescoast;2023;Hombre;Solista;Trap;Chile
Camilo;2023;Hombre;Solista;Pop ;Colombia
Nicki Nicole;2023;Mujer;Solista;Urbano;Argentina
Ricky Martin;2020;Hombre;Solista;Pop  Latino;Puerto Rico
Pedro Capó;2020;Hombre;Solista;Pop romántico;Puerto Rico
Mon Laferte;2020;Mujer;Solista;Pop / balada / rock alternativo;Chile
Francisca Valenzuela;2020;Mujer;Solista;Pop rock;Chile
Ana gabriel;2020;Mujer;Solista;Pop latino / balada romántica / ranchera;México
Pimpinela;2020;Mixto;Duo;Pop ;Argentina
Pablo Alborán;2020;Hombre;Solista;Pop ;España
Luciano Pereyra;2020;Hombre;Solista;Pop ;Argentina
Maroon 5;2020;Hombre;Grupo;Pop rock;Estados Unidos
Alexandre Pires;2020;Hombre;Solista;Pagode;Brasil
Ozuna;2020;Hombre;Solista;Reggaeton;Puerto Rico
Denise Rosenthal ;2020;Mujer;Solista;Pop latino;Chile
Noche de Brujas ;2020;Hombre;Grupo;Cumbia;Chile
Wisin & Yandel;2019;Hombre;Duo;Reggaeton;Puerto Rico
Sebastian Yatra;2019;Hombre;Solista;Pop latino;Colombia
Raphael;2019;Hombre;Solista;Balada;España
Yuri;2019;Mujer;Solista;Pop latino;México
Marc Anthony ;2019;Hombre;Solista;Salsa;Estados Unidos/ Puerto Rico
David Bisbal;2019;Hombre;Solista;Pop;España
Marco Antonio Solis ;2019;Hombre;Solista;Balada Romántica / pop;México
Carlos Rivera;2019;Hombre;Solista;Pop balada;México
Backstreet Boys;2019;Hombre;Grupo;Pop;Estados Unidos
Cami;2019;Mujer;Solista;Folk / soul / pop;Chile
Bad Bunny;2019;Hombre;Solista;Reggaeton / trap;Puerto Rico
Becky G;2019;Mujer;Solista;Reggaeton;Estados Unidos
Ricky Martin;2019;Hombre;Solista;Pop latino;Puerto Rico
Miguel Bosé ;2018;Hombre;Solista;Pop / baladas;España
Illapu;2018;Hombre;Grupo;Música andina / fusión latinoamericana;Chile
Luis Fonsi;2018;Hombre;Solista;Pop latino;Puerto Rico
Gente de Zona;2018;Hombre;Duo;Urbano;Cuba
Jamiroquai;2018;Hombre;Grupo;Fuk / acid jazz;Reino Unido
Europe ;2018;Hombre;Grupo;Hard rock;Suecia
Jesse & Joy;2018;Mixto;Duo;Pop;México
Prince Royce ;2018;Hombre;Solista;Bachata;Estados Unidos
Carlos Vives;2018;Hombre;Solista;Pop tropical;Colombia
Ha*Ash;2018;Mujer;Duo;Pop;México
CNCO;2018;Hombre;Grupo;Reggaeton / pop latino;Estados Unidos (ahí se crearon)
Augusto Schuster ;2018;Hombre;Solista;Pop;Chile
Zion & Lennox;2018;Hombre;Duo;Reggeaton;Puerto Rico
Los Fabulosos Cadillacs;2017;Hombre;Grupo;Ska;Argentina
Los Auténticos Decadentes ;2017;Hombre;Grupo;Rock / ska;Argentina
Sin Bandera;2017;Hombre;Duo;Pop / baladas / ranchera ;México
Camila;2017;Hombre;Grupo;Pop rock;México
Isabel Pantoja ;2017;Mujer;Solista;Copla / flamenco / pop;España
Río Roma;2017;Hombre;Duo;Pop latino;México
Olivia Newton-John;2017;Mujer;Solista;Pop;Australia
Peter Cetera;2017;Hombre;Solista;Rock;Estados Unidos 
Maluma;2017;Hombre;Solista;Reggaeton / urbano;Colombia
Américo;2017;Hombre;Solista;Cumbia tropical ;Chile
J Balvin;2017;Hombre;Solista;Reggaeton;Colombia
Lali Esposito;2017;Mujer;Solista;Pop;Argentina
Mon Laferte;2017;Mujer;Solista;Pop / balada / rock alternativo;Chile
Márama y Rombai;2017;Mixto;Grupo;Cumbia pop;Uruaguay 
