,Año,Género F/M/Mixto,Grupo/solista,Género musical,Nacionalidad,¿Aparece en top 20 NACIONAL antes del festival?,¿Aparece top 100 NACIONAL antes del festival? TOPCHARTS,¿Cuántas veces aparece?,Posición en el chart,Peak de rating,Gaviotas,Antorchas,¿Aparece top 20 después del festival?,¿Aparece top 100 después del festival?,¿Cuántas veces aparece?,Chart,¿Subió o bajó?,,,,
Marc Anthony ,2025,Hombre,Solista,Salsa,Estados Unidos/ Puerto Rico,no,PENDIENTE,0,0,22.5,2,No se dan,no,,0,0,-,,,,
Bacilos,2025,Hombre,Grupo,Pop Latino,Estados Unidos,no,PENDIENTE,0,0,14.9,2,No se dan,no,,0,0,-,,,,
Myriam Hernandez,2025,Mujer,Solista ,Balada Romántica,Chile,no,PENDIENTE,0,0,41.9,3,No se dan,no,,0,0,-,,,,
Ha*Ash,2025,Mujer,Duo,Pop  ,México,no,PENDIENTE,0,0,14.5,2,No se dan,no,,0,0,-,,,,
Morat ,2025,Hombre,Grupo,Pop  Latino,Colombia,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Sebastian Yatra,2025,Hombre,Solista,Pop Latino ,Colombia,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Carlos Vives,2025,Hombre,Solista,Pop tropical,Colombia,no,PENDIENTE,0,0,39.3,2,No se dan,no,,0,0,-,,,,
Carín Leon,2025,Hombre,Solista,Regional Mexicana,México,no,PENDIENTE,0,0,10.2,2,No se dan,no,,0,0,-,,,,
Incubus,2025,Mixto,Grupo,Rock Alternativo,EEUU,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,2,,
The Cult,2025,Hombre,Grupo,Hard rock,Reino Unido,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,2,,
Duki,2025,Hombre,Solista,Trap,Argentina,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,2025,27,,
Eladio Carrion,2025,Hombre,Solista,Trap,Puerto Rico,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,2024,24,,
Kid Voodoo,2025,Hombre,Solista,Urbano,Chile,si,PENDIENTE,1,2,-,2,No se dan,si,,1,1,Subió ,2023,24,,
Alejandro Sanz,2024,Hombre,Solista,Balada romántica,España,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Manuel Turizo,2024,Hombre,Solista,Urbano ,Colombia,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Andrea Bocelli,2024,Hombre,Solista,Clásica ,Italia,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,2020,24,,
MIRANDA!,2024,Mixto,Duo,Electropop,Argentina,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,2019,26,,
Maná,2024,Hombre,Grupo,Rock  ,México,no,PENDIENTE,0,0,35.4,2,No se dan,no,,0,0,-,2018,26,,
Men at Work,2024,Hombre,Grupo,Pop ,Australia,no,PENDIENTE,0,0,9.1,2,No se dan,no,,0,0,-,2017,29,,
Mora ,2024,Hombre,Solista,Urbano,Puerto Rico,si,PENDIENTE,2,"14, 15",-,2,No se dan,si,,2,13.15,Subió,2016,24,,
Anitta,2024,Mujer,Solista,Pop funk ,Brasil,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Los Bunkers,2024,Hombre,Grupo,Rock  Alternativo,Chile,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Young Cister,2024,Hombre,Solista,Urbano,Chile,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Trueno,2024,Hombre,Solista,Hip Hop / Rap,Argentina,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Maria Becerra,2024,Mujer,Solista,Pop ,Argentina,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Karol G,2023,Mujer,Solista,Urbano ,Colombia,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Paloma Mami,2023,Mujer,Solista,Urbano ,Chile,no ,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Tini,2023,Mujer,Solista,Pop ,Argentina,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Emilia,2023,Mujer,Solista,Pop ,Argentina,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Alejandro Fernandez,2023,Hombre,Solista,Ranchera / pop latino,México,no ,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Los Jaivas,2023,Mixto,Grupo,Rock folclórico,Chile,no ,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Fito Paez,2023,Hombre,Solista,Rock,Argentina,no ,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Rels B,2023,Hombre,Solista,Urbano,España,no ,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Christina Aguilera,2023,Mujer,Solista,Pop,Estados Unidos,no ,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Polima Wescoast,2023,Hombre,Solista,Trap,Chile,si,PENDIENTE,2,6.12,-,2,No se dan,si,,2,7.17,Bajó,,,,
Camilo,2023,Hombre,Solista,Pop ,Colombia,no ,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Nicki Nicole,2023,Mujer,Solista,Urbano,Argentina,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Ricky Martin,2020,Hombre,Solista,Pop  Latino,Puerto Rico,no,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Pedro Capó,2020,Hombre,Solista,Pop romántico,Puerto Rico,no,Sí,2,"25, 62",-,2,No se dan,no,Sí,2,"24, 62",Subió,,,,
Mon Laferte,2020,Mujer,Solista,Pop / balada / rock alternativo,Chile,no,Sí,1,54,-,2,No se dan,no,Sí,2,"42,  80",Subió,,,,
Francisca Valenzuela,2020,Mujer,Solista,Pop rock,Chile,no,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Ana gabriel,2020,Mujer,Solista,Pop latino / balada romántica / ranchera,México,no,No,0,0,-,2,No se dan,no,Sí,1,83,Ingresó,,,,
Pimpinela,2020,Mixto,Duo,Pop ,Argentina,no,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Pablo Alborán,2020,Hombre,Solista,Pop ,España,no,No,0,0,-,2,No se dan,no,Sí,1,77,Ingresó,,,,
Luciano Pereyra,2020,Hombre,Solista,Pop ,Argentina,no,No,0,0,-,2,No se dan,no,Sí,1,92,Ingresó,,,,
Maroon 5,2020,Hombre,Grupo,Pop rock,Estados Unidos,no,Sí,1,94,-,0,No se dan,no,Sí,6,"29, 55, 79, 86, 90,98",Subió ,,,,
Alexandre Pires,2020,Hombre,Solista,Pagode,Brasil,no,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Ozuna,2020,Hombre,Solista,Reggaeton,Puerto Rico,Sí,Sí,6,"11, 19, 22, 23, 69, 88, 99",-,2,No se dan,Sí,Sí,4,"16, 20, 24, 84",Subió,,,,
